Statut;Coordonnées géographiques;Geo Shape
En exploitation;41.53388062821424, 9.267164426671684;"{""coordinates"": [[9.2696904, 41.5342292], [9.2696864, 41.5342162], [9.2696474, 41.5341625], [9.2695496, 41.5341743], [9.2693885, 41.5341491], [9.2692744, 41.5340841], [9.2691814, 41.5340302], [9.2690982, 41.5339936], [9.2689456, 41.5339375], [9.2688692, 41.5339273], [9.2687684, 41.5339148], [9.2686518, 41.5339116], [9.2682279, 41.5339144], [9.2678265, 41.5339345], [9.2676301, 41.5339284], [9.2675302, 41.5339254], [9.2670674, 41.533879], [9.266787, 41.5338486], [9.2665638, 41.5338465], [9.2662258, 41.53384], [9.2658881, 41.533822], [9.2658289, 41.5338189], [9.265477, 41.5337126], [9.2653904, 41.533679], [9.2652827, 41.5336621], [9.2651918, 41.5336658], [9.2651152, 41.5336786], [9.2648963, 41.5337345], [9.2647305, 41.5337681], [9.2646292, 41.5337565], [9.2646063, 41.5337345], [9.2646117, 41.5337224]], ""type"": ""LineString""}"
En exploitation;41.767937181090964, 9.143403329466302;"{""coordinates"": [[9.1437772, 41.7687891], [9.1437277, 41.7684051], [9.1436584, 41.7679952], [9.1435775, 41.7678108], [9.1435163, 41.7677423], [9.1430408, 41.7675507], [9.1426451, 41.767435], [9.1426289, 41.7674502]], ""type"": ""LineString""}"
En exploitation;41.97778219787413, 8.829609707703176;"{""coordinates"": [[8.8297886, 41.9778604], [8.8295121, 41.9777238], [8.8294486, 41.9777654], [8.8294351, 41.9777743]], ""type"": ""LineString""}"
En exploitation;41.53444935963192, 9.269758721615815;"{""coordinates"": [[9.2696841, 41.5342313], [9.2696794, 41.5342262], [9.2696702, 41.5342278], [9.2696499, 41.5342316], [9.2696758, 41.5343483], [9.2698366, 41.5346005], [9.2698646, 41.5346159], [9.2699334, 41.5346234], [9.269939, 41.534624], [9.2699465, 41.5346313]], ""type"": ""LineString""}"
En exploitation;41.77143712714708, 9.144573838340108;"{""coordinates"": [[9.1446422, 41.7726184], [9.1448584, 41.7724952], [9.1449065, 41.7724522], [9.1449454, 41.7721664], [9.1449473, 41.772103], [9.144812, 41.7717443], [9.1445981, 41.7713578], [9.1445996, 41.7712079], [9.1443485, 41.7707958], [9.1440407, 41.7704061], [9.1440252, 41.7703583], [9.1438895, 41.7703793], [9.1438648, 41.7703657]], ""type"": ""LineString""}"
En exploitation;41.98204268894169, 8.840351121895674;"{""coordinates"": [[8.8417852, 41.9827078], [8.8391439, 41.9814997], [8.8391135, 41.9814852], [8.8391059, 41.9814821], [8.8391054, 41.9814776], [8.8391074, 41.9814729], [8.8392539, 41.9813319], [8.8392613, 41.9813241], [8.8392717, 41.9813132]], ""type"": ""LineString""}"
En exploitation;41.5770128, 9.27470495;"{""coordinates"": [[9.2747218, 41.5769946], [9.2746881, 41.577031]], ""type"": ""LineString""}"
En exploitation;41.78482308753772, 9.203156259568873;"{""coordinates"": [[9.203171, 41.7847163], [9.2031554, 41.7848918], [9.2031068, 41.7848924]], ""type"": ""LineString""}"
En exploitation;41.965382304815705, 8.811344271956182;"{""coordinates"": [[8.8107835, 41.9657116], [8.8108742, 41.9656522], [8.8116269, 41.9652031], [8.8117085, 41.9651715], [8.811826, 41.9651377], [8.8119333, 41.9651226]], ""type"": ""LineString""}"
En exploitation;41.6616117645357, 8.917546788208565;"{""coordinates"": [[8.9172432, 41.6611359], [8.9173883, 41.6613352], [8.9177771, 41.6619637], [8.917771, 41.6620075], [8.917744, 41.6620379], [8.9176775, 41.6620654]], ""type"": ""LineString""}"
En exploitation;42.58991264645594, 9.301831001763006;"{""coordinates"": [[9.3018031, 42.5899202], [9.3018224, 42.589908], [9.3018361, 42.5899048], [9.3018429, 42.5899099], [9.3018479, 42.5899134], [9.3018521, 42.5899245], [9.3018544, 42.5899255]], ""type"": ""LineString""}"
En exploitation;41.965891701395556, 8.810740795484568;"{""coordinates"": [[8.8107835, 41.9657116], [8.8107158, 41.9657605], [8.8107093, 41.9658151], [8.8107156, 41.9658779], [8.8107838, 41.9660726], [8.8107781, 41.9660761], [8.8107638, 41.9660843]], ""type"": ""LineString""}"
En exploitation;41.662782770634166, 8.914130022197162;"{""coordinates"": [[8.9139136, 41.662646], [8.9139346, 41.6626424], [8.9142606, 41.6628777], [8.914331, 41.6629205], [8.9143486, 41.662924]], ""type"": ""LineString""}"
En exploitation;42.58991088801075, 9.301842339062107;"{""coordinates"": [[9.3018213, 42.5899261], [9.3018334, 42.5899127], [9.3018415, 42.589901], [9.3018523, 42.5899012], [9.3018539, 42.5899069], [9.3018542, 42.5899084], [9.3018573, 42.589916], [9.3018609, 42.5899207]], ""type"": ""LineString""}"
En exploitation;41.96517158763433, 8.812199524969289;"{""coordinates"": [[8.8119333, 41.9651226], [8.8120193, 41.9651357], [8.8123394, 41.9651898], [8.8123963, 41.9652011], [8.8124099, 41.9652526], [8.8124159, 41.9652604], [8.8124249, 41.9652721]], ""type"": ""LineString""}"
En exploitation;41.66213341416883, 8.91556976265264;"{""coordinates"": [[8.9172293, 41.6611177], [8.9167259, 41.6614004], [8.9165675, 41.6614747], [8.916377, 41.6615285], [8.9162552, 41.6615486], [8.9159717, 41.6615891], [8.9158304, 41.6616382], [8.9157721, 41.661661], [8.9157123, 41.6617178], [8.9156599, 41.6617947], [8.9156462, 41.6618202], [8.9156389, 41.6621736], [8.9155805, 41.6624527], [8.9151658, 41.662711], [8.9147763, 41.6628717], [8.9143996, 41.6629436], [8.913937, 41.6626294], [8.9139262, 41.6626322], [8.9139089, 41.6626366]], ""type"": ""LineString""}"
En exploitation;42.123560877248615, 8.94270667682859;"{""coordinates"": [[8.9452856, 42.1239139], [8.9452642, 42.1238941], [8.9450561, 42.1238626], [8.9449454, 42.1239296], [8.944713, 42.1239617], [8.944551, 42.1239051], [8.9442788, 42.1238759], [8.9438909, 42.123909], [8.9437063, 42.1239576], [8.9436281, 42.1240473], [8.9435488, 42.1245022], [8.9434775, 42.1245589], [8.9433374, 42.1245643], [8.943241, 42.1245036], [8.9431864, 42.1242717], [8.9430262, 42.1239096], [8.9426992, 42.1233433], [8.9425897, 42.1233108], [8.9424167, 42.1233504], [8.9420233, 42.1233752], [8.9415864, 42.1233499], [8.9411621, 42.1233968], [8.9408642, 42.1233073], [8.9408063, 42.1231283], [8.9409125, 42.1230233], [8.9410603, 42.122943], [8.9414811, 42.1227944], [8.9417831, 42.1227122], [8.9417934, 42.1225536], [8.9418226, 42.1223936], [8.941952, 42.122251]], ""type"": ""LineString""}"
En exploitation;41.965197805868854, 8.812757959276148;"{""coordinates"": [[8.8131002, 41.9650564], [8.8128279, 41.9652344], [8.8127455, 41.9652571], [8.8126596, 41.9652439], [8.8124497, 41.9652043], [8.8124472, 41.9652506], [8.8124441, 41.965258], [8.8124389, 41.9652709]], ""type"": ""LineString""}"
En exploitation;41.668112444378515, 8.909803670833208;"{""coordinates"": [[8.9095219, 41.6687419], [8.9095876, 41.6685129], [8.9098034, 41.6680878], [8.9099098, 41.6678597], [8.9100504, 41.6676942], [8.9101094, 41.6675662], [8.9101296, 41.6675222], [8.91014, 41.6675112]], ""type"": ""LineString""}"
En exploitation;42.251177729615854, 9.181951273891872;"{""coordinates"": [[9.1818155, 42.2512727], [9.1819426, 42.2511556], [9.1821082, 42.2511251]], ""type"": ""LineString""}"
En exploitation;41.96537590280448, 8.812731346673598;"{""coordinates"": [[8.812877, 41.9652406], [8.8127168, 41.9653309], [8.8126981, 41.9653862], [8.812714, 41.9654214], [8.812649, 41.9654974], [8.8126425, 41.9655519]], ""type"": ""LineString""}"
En exploitation;41.67125095, 8.91179045;"{""coordinates"": [[8.9125286, 41.6709624], [8.9110523, 41.6715395]], ""type"": ""LineString""}"
En exploitation;42.95628415, 9.41834025;"{""coordinates"": [[9.4184575, 42.9562979], [9.418223, 42.9562704]], ""type"": ""LineString""}"
En exploitation;41.964904983407536, 8.813256643283138;"{""coordinates"": [[8.812877, 41.9652406], [8.8129678, 41.9651813], [8.813504, 41.9647865], [8.8135124, 41.9647502], [8.813291, 41.9645848], [8.8132624, 41.964598], [8.8132471, 41.9646052]], ""type"": ""LineString""}"
En exploitation;41.66886590158158, 8.908772897068557;"{""coordinates"": [[8.9095108, 41.6687859], [8.9094897, 41.6687799], [8.9087809, 41.6688669], [8.9087305, 41.6688798], [8.9081662, 41.668944], [8.908124, 41.6689095], [8.9080961, 41.6688957], [8.908074, 41.6688907], [8.908065, 41.6688886], [8.9080479, 41.6688845]], ""type"": ""LineString""}"
En exploitation;42.955214191810654, 9.455549166431163;"{""coordinates"": [[9.4547054, 42.9569378], [9.4546953, 42.9568828], [9.4548148, 42.9567233], [9.4550207, 42.9567794], [9.4550404, 42.9567406], [9.4551239, 42.9562566], [9.4554758, 42.9555875], [9.4557379, 42.9548376], [9.4560055, 42.9544231], [9.4560862, 42.9542168], [9.4559911, 42.9538543], [9.4559692, 42.9535941], [9.4560619, 42.9532417]], ""type"": ""LineString""}"
En exploitation;41.97140650689242, 8.818440395164037;"{""coordinates"": [[8.8191634, 41.9712233], [8.8191257, 41.9711238], [8.8190822, 41.9710958], [8.8189979, 41.9711006], [8.8180022, 41.9716371], [8.8177811, 41.9717203], [8.8176501, 41.9717522]], ""type"": ""LineString""}"
En exploitation;41.65790347899231, 8.899329107843267;"{""coordinates"": [[8.9004706, 41.65782], [8.9003416, 41.6580279], [8.8999009, 41.6584187], [8.8997544, 41.6584107], [8.8995254, 41.6583869], [8.8993265, 41.6583262], [8.8991084, 41.6582421], [8.8989187, 41.6581663], [8.8987676, 41.6581082], [8.8986186, 41.6580377], [8.8985542, 41.6579895], [8.8985597, 41.6579471], [8.8986857, 41.6578078], [8.8987968, 41.6577174], [8.8988515, 41.6576176], [8.8989304, 41.6575282], [8.8989691, 41.6574356], [8.8990034, 41.657323], [8.8990456, 41.6571549], [8.8991001, 41.6570596], [8.8991496, 41.6570026], [8.8992128, 41.6569023], [8.899295, 41.6568118]], ""type"": ""LineString""}"
En exploitation;42.95715246192688, 9.447200772932762;"{""coordinates"": [[9.4487625, 42.957743], [9.4482653, 42.9575518], [9.4473122, 42.9571881], [9.4465989, 42.9569222], [9.4463291, 42.9568308], [9.4460245, 42.9567189], [9.4457614, 42.9565955], [9.4456715, 42.9566604], [9.4456564, 42.9566678]], ""type"": ""LineString""}"
En exploitation;41.97708390866474, 8.828306659913038;"{""coordinates"": [[8.827067, 41.9763767], [8.8275987, 41.9766935], [8.8281709, 41.9770325], [8.8288441, 41.9773818], [8.8294936, 41.9777051], [8.8294428, 41.9777614], [8.829432, 41.9777723]], ""type"": ""LineString""}"
En exploitation;41.65819586064184, 8.905161009139615;"{""coordinates"": [[8.9052322, 41.6581346], [8.9051017, 41.6582469], [8.9050898, 41.6582571]], ""type"": ""LineString""}"
En exploitation;42.95924721494243, 9.449839015840181;"{""coordinates"": [[9.4483892, 42.9593668], [9.4484549, 42.9593821], [9.4486957, 42.9594251], [9.4488898, 42.9594431], [9.4490392, 42.9594493], [9.4490651, 42.9594495], [9.4490921, 42.9594487], [9.449114, 42.9594483], [9.4491558, 42.9594476], [9.4492388, 42.9594424], [9.4492829, 42.9594406], [9.4493014, 42.9594413], [9.4493203, 42.9594456], [9.4493621, 42.9594548], [9.44939, 42.959462], [9.4493936, 42.9594628], [9.4493984, 42.9594616], [9.4495093, 42.9594413], [9.4496742, 42.9593886], [9.4498515, 42.9593253], [9.4501989, 42.9592002], [9.4503992, 42.9591355], [9.45076, 42.9590194], [9.4508235, 42.9590048], [9.4508545, 42.9589965], [9.4508827, 42.9589857], [9.4509131, 42.9589712], [9.450983, 42.9589371], [9.4510201, 42.9589176], [9.4510629, 42.9588933], [9.4510764, 42.9588817], [9.4510865, 42.958873], [9.4510937, 42.9588616], [9.4511122, 42.9588298], [9.4511403, 42.9587739], [9.4511506, 42.9587453], [9.4511587, 42.9587154]], ""type"": ""LineString""}"
En exploitation;41.95250996384094, 8.80109395016996;"{""coordinates"": [[8.8011448, 41.9526213], [8.8011274, 41.9525681], [8.8011218, 41.9525142], [8.8010941, 41.9524798], [8.8010545, 41.9524458], [8.8010181, 41.9524479], [8.8010003, 41.9524489]], ""type"": ""LineString""}"
En exploitation;41.67595538993224, 8.906802006453288;"{""coordinates"": [[8.9066623, 41.675846], [8.9067866, 41.6758634], [8.9067535, 41.6760098], [8.9069323, 41.6760374], [8.9069423, 41.6760188], [8.9069524, 41.676013], [8.9069666, 41.6760048]], ""type"": ""LineString""}"
En exploitation;42.96155102894557, 9.448380800273071;"{""coordinates"": [[9.4485861, 42.9611809], [9.4485942, 42.9612034], [9.448591, 42.9612188], [9.4485778, 42.9612431], [9.4484216, 42.9614921], [9.4483706, 42.9615747], [9.4483559, 42.9615964], [9.4482871, 42.9616828], [9.4482364, 42.9617455], [9.4482187, 42.9617737], [9.448205, 42.9618044], [9.4481975, 42.9618364], [9.4481951, 42.9618799], [9.4481923, 42.9618982], [9.4482054, 42.9619261]], ""type"": ""LineString""}"
En exploitation;41.9529589438906, 8.801075815134451;"{""coordinates"": [[8.8011216, 41.9526317], [8.8010509, 41.9530672], [8.8010453, 41.9531311], [8.8010478, 41.9531562], [8.8010545, 41.9532215], [8.8010831, 41.9532819]], ""type"": ""LineString""}"
En exploitation;41.678100995898575, 8.910937194714517;"{""coordinates"": [[8.910517, 41.6778876], [8.9107776, 41.6782128], [8.910821, 41.6782504], [8.9108669, 41.6782583], [8.9111639, 41.6781291], [8.9113991, 41.6779227]], ""type"": ""LineString""}"
En exploitation;42.96285980734724, 9.448243524071492;"{""coordinates"": [[9.4482054, 42.9619261], [9.4482124, 42.9619508], [9.4482094, 42.9619555], [9.448204, 42.9619622], [9.4481833, 42.9619761], [9.4481537, 42.9619978], [9.4481312, 42.9620163], [9.4481217, 42.9620287], [9.4481116, 42.9620491], [9.4481069, 42.9620621], [9.4481019, 42.9620822], [9.4481042, 42.9621028], [9.448108, 42.9621351], [9.4481267, 42.9622785], [9.4481267, 42.9623119], [9.4481197, 42.9624659], [9.4481048, 42.9626475], [9.4481019, 42.9626775], [9.4480978, 42.9626948], [9.4480922, 42.9627097], [9.4480814, 42.962723], [9.4480745, 42.9627388], [9.4480715, 42.9627552], [9.4480754, 42.9627694], [9.4480853, 42.9627805], [9.4481089, 42.9627927], [9.4482063, 42.9628273], [9.4484254, 42.9629042], [9.4484475, 42.9629146], [9.4484635, 42.9629253], [9.4484783, 42.9629371], [9.4484848, 42.9629512], [9.4484866, 42.9629673], [9.4484839, 42.9629864], [9.448474, 42.9630187], [9.4484475, 42.963089], [9.4484268, 42.9631444], [9.448355, 42.9633448], [9.4483372, 42.9634055], [9.4483199, 42.9634797], [9.4481827, 42.9638091]], ""type"": ""LineString""}"
En exploitation;41.95412718466233, 8.800265559588514;"{""coordinates"": [[8.8001012, 41.954441], [8.8003577, 41.954002], [8.8003611, 41.9539475], [8.8003708, 41.9539198], [8.8003543, 41.9538664], [8.8003121, 41.9538081]], ""type"": ""LineString""}"
En exploitation;41.67765209682184, 8.912743753936466;"{""coordinates"": [[8.9125933, 41.6777551], [8.9127963, 41.6777422], [8.9127688, 41.6774836], [8.9127317, 41.67748], [8.912714, 41.6774775]], ""type"": ""LineString""}"
En exploitation;42.969311133687924, 9.4522484023527;"{""coordinates"": [[9.4514438, 42.9685298], [9.4514751, 42.9685383], [9.4515592, 42.9685619], [9.451681, 42.9686525], [9.4518371, 42.9688161], [9.4519793, 42.9690438], [9.4519903, 42.9690658], [9.4520173, 42.9691074], [9.452221, 42.9693858], [9.4522779, 42.9694528], [9.4523758, 42.969557], [9.4524952, 42.9696544], [9.452689, 42.9697798], [9.4527524, 42.9698174], [9.452817, 42.969856], [9.4528485, 42.9698739], [9.4528867, 42.9698959], [9.4529299, 42.9699177], [9.4531354, 42.9700046]], ""type"": ""LineString""}"
En exploitation;41.95729531206129, 8.800689686039949;"{""coordinates"": [[8.8002887, 41.9569685], [8.8003201, 41.957026], [8.8003253, 41.9570995], [8.8004444, 41.9572122], [8.8011581, 41.9575116], [8.8011452, 41.9575268], [8.8011355, 41.9575381]], ""type"": ""LineString""}"
En exploitation;41.679243727086245, 8.915874052490674;"{""coordinates"": [[8.9157542, 41.6795429], [8.9158363, 41.6795411], [8.9158993, 41.6792745], [8.9158716, 41.6789711], [8.9159247, 41.6789376], [8.9159492, 41.6789606], [8.9159369, 41.6789508]], ""type"": ""LineString""}"
En exploitation;42.95798076199878, 9.45165095479387;"{""coordinates"": [[9.4544575, 42.9569413], [9.4544728, 42.9569407], [9.4542478, 42.9569726], [9.4538014, 42.9569622], [9.4536306, 42.9569218], [9.4536126, 42.9569505], [9.4536115, 42.956976], [9.4535989, 42.9571313], [9.4535588, 42.9572144], [9.4535345, 42.9574255], [9.4535046, 42.9575216], [9.4534268, 42.9576031], [9.4533449, 42.9576053], [9.4532452, 42.9576035], [9.4531903, 42.9576484], [9.4527497, 42.9580577], [9.4526869, 42.9581327], [9.4526426, 42.9582634], [9.4523659, 42.9586123], [9.451949, 42.9587946], [9.451546, 42.9587071], [9.4503623, 42.9583452], [9.4502398, 42.9583048], [9.4499944, 42.9582124], [9.4496963, 42.9581006], [9.4495961, 42.9580625], [9.4484104, 42.9576187]], ""type"": ""LineString""}"
En exploitation;41.95843297145043, 8.805691453636268;"{""coordinates"": [[8.8050888, 41.9585503], [8.8058462, 41.958467], [8.8061517, 41.9582167], [8.8062295, 41.9582041], [8.8062475, 41.9582031]], ""type"": ""LineString""}"
En exploitation;41.679765165545334, 8.915590027148015;"{""coordinates"": [[8.9155928, 41.6796706], [8.9155818, 41.6797398], [8.9156014, 41.6798597]], ""type"": ""LineString""}"
En exploitation;42.95331011414488, 9.436357379900285;"{""coordinates"": [[9.4335221, 42.9523606], [9.433811, 42.9523573], [9.4343629, 42.952435], [9.434927, 42.9525959], [9.4353313, 42.9527399], [9.4358002, 42.9530716], [9.4360687, 42.9532571], [9.4365767, 42.9535628], [9.4374891, 42.9539367], [9.4380554, 42.9540035], [9.4382867, 42.9540255], [9.438493, 42.9540445], [9.4392173, 42.9542377]], ""type"": ""LineString""}"
En exploitation;41.9614241, 8.8085928;"{""coordinates"": [[8.8082858, 41.9612696], [8.8088998, 41.9615786]], ""type"": ""LineString""}"
En exploitation;41.680041201279636, 8.915740131576253;"{""coordinates"": [[8.9156014, 41.6798597], [8.9156209, 41.679943], [8.9156718, 41.6800158], [8.9157301, 41.6800573], [8.915841, 41.6801196], [8.915936, 41.680176]], ""type"": ""LineString""}"
En exploitation;42.958378147777374, 9.452075695661167;"{""coordinates"": [[9.4506845, 42.9584129], [9.4506898, 42.9584258], [9.4506979, 42.9584449], [9.4509171, 42.9585136], [9.451102, 42.9585611], [9.4513633, 42.9586317], [9.4519255, 42.9587734], [9.4519436, 42.9587784], [9.4523503, 42.9586045], [9.4523908, 42.958541], [9.4525999, 42.9582676], [9.4526737, 42.9581168], [9.4527603, 42.9580282], [9.4530269, 42.9577909], [9.4531459, 42.9576687], [9.4532371, 42.9575932], [9.4532839, 42.9575906]], ""type"": ""LineString""}"
En exploitation;41.96388573102279, 8.813786695487897;"{""coordinates"": [[8.8133364, 41.9635535], [8.8134345, 41.9636101], [8.8138004, 41.9638761], [8.8139727, 41.9640281], [8.8142071, 41.9642557]], ""type"": ""LineString""}"
En exploitation;41.68064231689296, 8.916105036490201;"{""coordinates"": [[8.9160359, 41.6803799], [8.9160664, 41.6804413], [8.9159963, 41.6804635], [8.9161162, 41.6806913], [8.9162444, 41.6809192], [8.9162489, 41.6809274], [8.9162494, 41.680932]], ""type"": ""LineString""}"
En exploitation;42.95309635705443, 9.402168396546013;"{""coordinates"": [[9.4012686, 42.9526563], [9.4012839, 42.9526638], [9.4030682, 42.9535364]], ""type"": ""LineString""}"
En exploitation;41.96483981432834, 8.814677075750954;"{""coordinates"": [[8.8142071, 41.9642557], [8.8143473, 41.9644273], [8.8145446, 41.9646802], [8.8147168, 41.9648926], [8.8149407, 41.9651636], [8.8151486, 41.9654227]], ""type"": ""LineString""}"
En exploitation;41.66865396484072, 8.913781833767182;"{""coordinates"": [[8.9136104, 41.6689534], [8.9137116, 41.6687954], [8.9137404, 41.6686512], [8.9138666, 41.6685116], [8.9139569, 41.6684262], [8.9139685, 41.6683835], [8.9139744, 41.6683708]], ""type"": ""LineString""}"
En exploitation;42.57991306612921, 9.364086499338923;"{""coordinates"": [[9.3642878, 42.5798258], [9.3642647, 42.579839], [9.3639474, 42.5799758], [9.3638794, 42.5799707]], ""type"": ""LineString""}"
En exploitation;41.97003098320412, 8.818210920714813;"{""coordinates"": [[8.8176253, 41.9693912], [8.8176512, 41.9694194], [8.8179271, 41.9697466], [8.817982, 41.9698123], [8.8188188, 41.9706503]], ""type"": ""LineString""}"
En exploitation;41.66844514777349, 8.89950598122735;"{""coordinates"": [[8.9002093, 41.6690242], [8.9001844, 41.6689036], [8.9000914, 41.668852], [8.8998314, 41.6686838], [8.8997071, 41.6683545], [8.8995654, 41.6682743], [8.8995055, 41.6683166], [8.8992299, 41.6683388], [8.8987838, 41.6680912], [8.8987126, 41.6681026], [8.8986829, 41.6680486], [8.8986746, 41.6680367]], ""type"": ""LineString""}"
En exploitation;42.11875814999999, 8.893034100000001;"{""coordinates"": [[8.893001, 42.1187931], [8.8930672, 42.1187232]], ""type"": ""LineString""}"
En exploitation;41.970901625888146, 8.819008488360343;"{""coordinates"": [[8.8188188, 41.9706503], [8.8191405, 41.9710756], [8.8191952, 41.9711551]], ""type"": ""LineString""}"
En exploitation;41.674135934092384, 8.90137245240209;"{""coordinates"": [[8.9013384, 41.6730961], [8.9016718, 41.6736562], [8.9018145, 41.6739136], [8.9018141, 41.6739514], [8.9020334, 41.6743261], [8.9021542, 41.6744311], [8.9021711, 41.6745199], [8.902121, 41.6745877], [8.9020175, 41.6746687], [8.9005567, 41.6744029], [8.9007678, 41.6737026], [8.9006717, 41.6736693], [8.9005804, 41.673661], [8.9005784, 41.6736637], [8.90057, 41.6736756]], ""type"": ""LineString""}"
En exploitation;42.114948916357704, 8.88595729217735;"{""coordinates"": [[8.893001, 42.1187931], [8.8925065, 42.1185703], [8.8921652, 42.1186806], [8.8919764, 42.1187087], [8.8916821, 42.118587], [8.8914058, 42.1186136], [8.8912251, 42.1185398], [8.89097, 42.1180655], [8.8910269, 42.1177305], [8.8909135, 42.1173933], [8.8907263, 42.1169577], [8.8906671, 42.1167389], [8.8907978, 42.1165739], [8.8907598, 42.1162703], [8.8904196, 42.1156776], [8.8901365, 42.115496], [8.8893031, 42.1151176], [8.888756, 42.1149412], [8.8884497, 42.1149695], [8.8880616, 42.1151004], [8.8878359, 42.1150047], [8.8875284, 42.1148688], [8.886821, 42.1143299], [8.8865644, 42.1142125], [8.8862078, 42.1141933], [8.8855328, 42.1144521], [8.885043, 42.1145716], [8.8848014, 42.1145102], [8.8846511, 42.1143875], [8.8842566, 42.1141423], [8.8838489, 42.1140347], [8.8824028, 42.1141362], [8.8821972, 42.1141183], [8.8809538, 42.1136948], [8.8806397, 42.1135293], [8.8805392, 42.1134357], [8.8806938, 42.11323], [8.8806789, 42.1128037], [8.8807064, 42.1126658], [8.8805455, 42.1125213], [8.8800597, 42.1124897], [8.8795672, 42.1124194], [8.8789036, 42.1122369], [8.8784723, 42.1122614], [8.8781605, 42.1123138], [8.8780907, 42.1122814], [8.8780752, 42.1122743]], ""type"": ""LineString""}"
En exploitation;41.98016726872188, 8.834666870081762;"{""coordinates"": [[8.8340996, 41.979935], [8.8341169, 41.9799308], [8.8341309, 41.9799274], [8.8343879, 41.9800618], [8.835242, 41.9803984]], ""type"": ""LineString""}"
En exploitation;41.681280537151714, 8.91649681892188;"{""coordinates"": [[8.9170749, 41.6815802], [8.9167592, 41.6814673], [8.9166404, 41.681415], [8.9164678, 41.6813178], [8.9162176, 41.6811142], [8.9160674, 41.6809972], [8.9162158, 41.6809392], [8.9162332, 41.6809424]], ""type"": ""LineString""}"
En exploitation;42.120483963228274, 8.901712558640591;"{""coordinates"": [[8.9004775, 42.119486], [8.900525, 42.1195541], [8.9007304, 42.1198084], [8.9007917, 42.1199402], [8.9007781, 42.119988], [8.9007329, 42.1201031], [8.9004587, 42.1204425], [8.9007287, 42.1207421], [8.9009192, 42.1207701], [8.9013856, 42.1207017], [8.9018228, 42.1207331], [8.9025149, 42.1205236], [8.903212, 42.1206286], [8.9037826, 42.1207407]], ""type"": ""LineString""}"
En exploitation;41.968116316167965, 8.824280806186838;"{""coordinates"": [[8.8241715, 41.9682007], [8.8242637, 41.9680913], [8.8243182, 41.9680731], [8.8243862, 41.968099], [8.8243936, 41.968128]], ""type"": ""LineString""}"
En exploitation;41.6579009516697, 8.896535013675175;"{""coordinates"": [[8.8992279, 41.6587972], [8.8991109, 41.6587765], [8.8987763, 41.6586485], [8.8983329, 41.6584898], [8.8980881, 41.6584043], [8.8979638, 41.6583565], [8.8977026, 41.658269], [8.8971095, 41.6580539], [8.8969286, 41.657983], [8.8967466, 41.657901], [8.8965679, 41.657773], [8.8964969, 41.6576896], [8.8962584, 41.6574135], [8.8960741, 41.6572828], [8.8958972, 41.6572116], [8.8957501, 41.6571916], [8.8956184, 41.6572166], [8.8950487, 41.6574925], [8.8948289, 41.6575978], [8.8946444, 41.6576933], [8.8945189, 41.6577499], [8.894376, 41.6577836], [8.8942662, 41.6577848], [8.8941535, 41.65777], [8.8940837, 41.6577564], [8.8940223, 41.6577338], [8.8941222, 41.6576498], [8.8941413, 41.657613], [8.8941458, 41.6576051]], ""type"": ""LineString""}"
En exploitation;42.11945575, 8.90046955;"{""coordinates"": [[8.9004775, 42.119486], [8.9004616, 42.1194255]], ""type"": ""LineString""}"
En exploitation;41.62203191552965, 8.964765910719947;"{""coordinates"": [[8.9646941, 41.621929], [8.9646629, 41.6219528], [8.964763, 41.6220472], [8.9648746, 41.6220903], [8.9648474, 41.6221276]], ""type"": ""LineString""}"
En exploitation;41.67510707705057, 8.898296653070311;"{""coordinates"": [[8.8989584, 41.6742514], [8.8989106, 41.6744303], [8.8987774, 41.6751466], [8.8988958, 41.6752569], [8.8987774, 41.6753368], [8.8974592, 41.675157], [8.8973924, 41.6754445], [8.8974149, 41.6754836], [8.8975858, 41.6755064], [8.8975958, 41.6755154]], ""type"": ""LineString""}"
En exploitation;42.120724499999994, 8.9037969;"{""coordinates"": [[8.9037826, 42.1207407], [8.9038112, 42.1207083]], ""type"": ""LineString""}"
En exploitation;41.505430231145006, 8.940686179569388;"{""coordinates"": [[8.9436089, 41.5091934], [8.943345, 41.5090116], [8.9428858, 41.5086775], [8.9426241, 41.508377], [8.9424605, 41.5081784], [8.9423798, 41.5078882], [8.9419586, 41.5073999], [8.9414923, 41.5066512], [8.9414339, 41.506486], [8.9413906, 41.5064088], [8.9411245, 41.5060031], [8.9408783, 41.5054454], [8.9406612, 41.5049991], [8.9403329, 41.5044463], [8.9402105, 41.5042894], [8.9399043, 41.5040368], [8.9391789, 41.5033519], [8.9387912, 41.5028801], [8.9386337, 41.502754], [8.9382766, 41.5022648], [8.9381216, 41.5020212], [8.9377375, 41.5020414], [8.9375816, 41.5021137]], ""type"": ""LineString""}"
En exploitation;41.6702386496574, 8.914806575094923;"{""coordinates"": [[8.9142104, 41.6713237], [8.9142232, 41.6713178], [8.9142536, 41.6713149], [8.9142109, 41.6713336], [8.9141753, 41.6712924], [8.9141472, 41.6712768], [8.9141263, 41.6712726], [8.9139956, 41.6710914], [8.9136243, 41.6705636], [8.9136308, 41.6705423], [8.9154484, 41.669855], [8.9161997, 41.6695722], [8.9165815, 41.6694072]], ""type"": ""LineString""}"
