Statut;Coordonnées géographiques;Geo Shape
En exploitation;42.31631382901553, 9.148202096056677;"{""coordinates"": [[9.1481531, 42.3159777], [9.148145, 42.3160408], [9.1481481, 42.3160829], [9.1481762, 42.3162205], [9.1482327, 42.3163615], [9.1482377, 42.3164569], [9.1482232, 42.3165787], [9.1482772, 42.3166078], [9.1482921, 42.3166154]], ""type"": ""LineString""}"
En exploitation;42.318011951115295, 9.147416372364978;"{""coordinates"": [[9.1480847, 42.3170456], [9.147793, 42.3173147], [9.1474506, 42.3176385], [9.1474258, 42.3177249], [9.1473907, 42.3179302], [9.1473075, 42.3181979], [9.1473084, 42.3183523], [9.1471239, 42.3185032], [9.1469666, 42.3187553], [9.1472477, 42.3189625], [9.147265, 42.3189667]], ""type"": ""LineString""}"
En exploitation;42.31507417938607, 9.148745828741216;"{""coordinates"": [[9.1481531, 42.3159777], [9.1481733, 42.3159366], [9.1482892, 42.3157394], [9.1483061, 42.3156784], [9.1482921, 42.3155723], [9.1482935, 42.3154964], [9.1482961, 42.3154285], [9.1483155, 42.3153388], [9.1483303, 42.3152828], [9.1483459, 42.3152584], [9.1483724, 42.3152343], [9.1484195, 42.315208], [9.1485787, 42.3151184], [9.1486229, 42.3150878], [9.1487099, 42.315014], [9.1488325, 42.3149123], [9.1489325, 42.3148295], [9.1490288, 42.314754], [9.1491689, 42.3146562], [9.1492654, 42.3145918], [9.1493356, 42.3145443], [9.1494022, 42.3144961], [9.1494551, 42.3144559], [9.1495114, 42.3144029], [9.149549, 42.3143456], [9.1495638, 42.3143474], [9.1495755, 42.3143446], [9.149593, 42.3143406]], ""type"": ""LineString""}"
En exploitation;42.318332555645746, 9.147303969624035;"{""coordinates"": [[9.1474866, 42.3176224], [9.147398, 42.3181055], [9.1473487, 42.3182309], [9.1473691, 42.3182847], [9.1473534, 42.3183846], [9.1471806, 42.3185224], [9.1470703, 42.3187206], [9.1472666, 42.3188996], [9.147287, 42.3189442], [9.1472846, 42.3189575]], ""type"": ""LineString""}"
En exploitation;42.31320929479589, 9.147263050385382;"{""coordinates"": [[9.1483754, 42.3129964], [9.1481904, 42.3129692], [9.1479947, 42.3129591], [9.1479301, 42.3129584], [9.1478747, 42.3129626], [9.147823, 42.3129702], [9.1477512, 42.3129799], [9.147677, 42.3129933], [9.1476151, 42.3130051], [9.147541, 42.3130167], [9.1474618, 42.3130278], [9.1474126, 42.3130352], [9.1472864, 42.3130598], [9.1472387, 42.3130699], [9.147199, 42.313084], [9.1471622, 42.3131052], [9.14715, 42.3131149], [9.147092, 42.3131644], [9.1469835, 42.3132864], [9.1468546, 42.3134232], [9.1467558, 42.313523], [9.146714, 42.3135527], [9.146671, 42.3135715], [9.1466269, 42.3135804], [9.146558, 42.3135844], [9.146331, 42.3135448], [9.1462653, 42.3135281], [9.1462477, 42.3135183], [9.1462293, 42.3135063], [9.1462376, 42.3134944]], ""type"": ""LineString""}"
En exploitation;42.3165306020183, 9.148175578550044;"{""coordinates"": [[9.1480847, 42.3170456], [9.1481699, 42.316927], [9.1481924, 42.3168292], [9.1481724, 42.3167696], [9.148212, 42.3165616], [9.1482219, 42.316466], [9.1482205, 42.3163771], [9.148205, 42.3163389], [9.148167, 42.3162278], [9.1481512, 42.3161777], [9.14814, 42.3161249], [9.1481233, 42.3159948]], ""type"": ""LineString""}"
En exploitation;42.31713690185727, 9.147947094448218;"{""coordinates"": [[9.1474866, 42.3176224], [9.1480698, 42.317087], [9.1481818, 42.3169352], [9.148208, 42.3168259], [9.1481816, 42.3167624], [9.1482118, 42.316627], [9.1482626, 42.3166273], [9.1482799, 42.3166234]], ""type"": ""LineString""}"
En exploitation;42.31318913258768, 9.147268450422732;"{""coordinates"": [[9.148379, 42.3129844], [9.1481121, 42.3129531], [9.1480262, 42.3129464], [9.1479773, 42.3129448], [9.1479382, 42.3129435], [9.1478984, 42.3129459], [9.1478, 42.3129589], [9.1476889, 42.3129791], [9.147683, 42.3129794], [9.1475667, 42.3129963], [9.1473829, 42.313018], [9.1472639, 42.3130432], [9.1471871, 42.3130648], [9.1471396, 42.3130866], [9.1470938, 42.3131246], [9.1469977, 42.3132269], [9.1468222, 42.313427], [9.1467437, 42.313513], [9.1466959, 42.3135428], [9.1466584, 42.3135559], [9.1466059, 42.3135653], [9.1465582, 42.3135698], [9.1465067, 42.313563], [9.1463461, 42.3135358], [9.1462691, 42.3135236], [9.1462387, 42.313509], [9.1462426, 42.3134959]], ""type"": ""LineString""}"
En exploitation;42.31512231849937, 9.148669811732447;"{""coordinates"": [[9.1481233, 42.3159948], [9.148277, 42.3157033], [9.1482856, 42.3156821], [9.1482878, 42.3156684], [9.1482752, 42.3155088], [9.1482763, 42.3154283], [9.148279, 42.3154092], [9.1483112, 42.315279], [9.1483223, 42.3152576], [9.148334, 42.3152425], [9.1483551, 42.3152231], [9.1483814, 42.3152062], [9.1484447, 42.3151736], [9.1485083, 42.3151427], [9.1485473, 42.3151214], [9.1485837, 42.3150967], [9.1486219, 42.3150664], [9.1487018, 42.3149957], [9.1487264, 42.3149753], [9.1490263, 42.3147368], [9.1493462, 42.3145174], [9.1493764, 42.3144931], [9.1494243, 42.3144523], [9.1494711, 42.3144125]], ""type"": ""LineString""}"
En exploitation;42.31342477564141, 9.149264029769988;"{""coordinates"": [[9.1494711, 42.3144125], [9.1494776, 42.3144049], [9.1495026, 42.3143772], [9.1495177, 42.3143591], [9.1495301, 42.3143386], [9.1495399, 42.3143172], [9.1495535, 42.3142857], [9.1495651, 42.3142453], [9.1495802, 42.3141712], [9.1495895, 42.3140885], [9.1495926, 42.3140269], [9.1495998, 42.3139135], [9.1495989, 42.3138143], [9.1495892, 42.3137462], [9.1495721, 42.3136777], [9.1495463, 42.3135861], [9.1494481, 42.3132723], [9.1494261, 42.3132158], [9.1494178, 42.3131837], [9.1494124, 42.3131335], [9.1494122, 42.3130414], [9.1494149, 42.3130214], [9.1494137, 42.3130097], [9.1494092, 42.3130027], [9.1494027, 42.3129986], [9.149393, 42.3129983], [9.1492862, 42.3130019], [9.149087, 42.3130164], [9.1489324, 42.3130265], [9.1488474, 42.3130288], [9.1488011, 42.313028], [9.1487473, 42.3130258], [9.1486136, 42.3130156], [9.1483999, 42.3129976], [9.1483754, 42.3129964]], ""type"": ""LineString""}"
